Wavelength	WH3018F00000.asd
350	 5.44276185490747E-02 
351	 4.58463441216366E-02 
352	 5.40493352836758E-02 
353	 5.13408331634681E-02 
354	 4.57091489034286E-02 
355	 4.86787061334747E-02 
356	 4.14968249136863E-02 
357	 4.25105043001441E-02 
358	 4.85822584900409E-02 
359	 4.76635687711395E-02 
360	 6.32389631834873E-02 
361	 6.12403985696585E-02 
362	 3.97227008688515E-02 
363	 3.40042953539204E-02 
364	 0.04441940802732 
365	 5.68653884582505E-02 
366	 5.93202923107589E-02 
367	 4.58994181332062E-02 
368	 4.34262686539442E-02 
369	 5.42625494920334E-02 
370	 6.83949946869832E-02 
371	 6.26781614167603E-02 
372	 4.85623276431013E-02 
373	 0.039429787601235 
374	 0.046174344780203 
375	 5.42514510236264E-02 
376	 5.70363647834386E-02 
377	 5.30978379968453E-02 
378	 4.58174590463163E-02 
379	 5.00272333888478E-02 
380	 5.63688916981851E-02 
381	 5.53234523320217E-02 
382	 0.050629376368635 
383	 4.90829990850758E-02 
384	 5.06929139109308E-02 
385	 5.25154009764952E-02 
386	 0.053756098972578 
387	 0.054193061807791 
388	 5.32848952049856E-02 
389	 5.07033692663886E-02 
390	 5.40804869433746E-02 
391	 5.59253325898749E-02 
392	 5.29449707084869E-02 
393	 5.34662785583614E-02 
394	 5.80425563649388E-02 
395	 6.09019838276857E-02 
396	 5.79309451761602E-02 
397	 5.88860308876142E-02 
398	 5.74681741980977E-02 
399	 5.56573039153078E-02 
400	 5.91724832326209E-02 
401	 5.85994530080082E-02 
402	 5.87180035984679E-02 
403	 6.08787103292766E-02 
404	 6.02993143776752E-02 
405	 6.05390175834791E-02 
406	 6.03933943856681E-02 
407	 0.05879126369326 
408	 5.75062133569689E-02 
409	 5.89512940951314E-02 
410	 6.06974403096269E-02 
411	 5.91778562290791E-02 
412	 5.74982270715361E-02 
413	 5.69007425099074E-02 
414	 5.78962865979019E-02 
415	 6.02251521957958E-02 
416	 5.99325901313826E-02 
417	 5.99754315702431E-02 
418	 6.15701024219677E-02 
419	 5.93925890506984E-02 
420	 5.95367360581864E-02 
421	 6.14102184134614E-02 
422	 0.06229942250742 
423	 6.08404681997452E-02 
424	 5.98482575821184E-02 
425	 6.07927884552718E-02 
426	 6.34540351746954E-02 
427	 6.23938554066642E-02 
428	 6.08991196214278E-02 
429	 6.13641864937029E-02 
430	 6.25843323430756E-02 
431	 6.38311814041647E-02 
432	 6.39862860369536E-02 
433	 6.26206865233165E-02 
434	 6.16753878980576E-02 
435	 6.22359193155975E-02 
436	 6.35678988617652E-02 
437	 6.39051685526305E-02 
438	 6.34634856025444E-02 
439	 6.34755750956681E-02 
440	 6.43855473005245E-02 
441	 6.53775701731341E-02 
442	 6.50132713386277E-02 
443	 6.42671518328673E-02 
444	 6.44045736978535E-02 
445	 6.51921653849753E-02 
446	 0.066250196350669 
447	 6.66328595149653E-02 
448	 6.54581676155064E-02 
449	 0.065286577010513 
450	 6.56491944192968E-02 
451	 6.60898966694157E-02 
452	 6.67728433292905E-02 
453	 6.65758798571256E-02 
454	 0.066137355308215 
455	 6.63016728809212E-02 
456	 6.69771738503645E-02 
457	 6.69032296783441E-02 
458	 6.63493841637121E-02 
459	 6.64659581327981E-02 
460	 6.68779883896842E-02 
461	 6.76019816082712E-02 
462	 6.82080841750738E-02 
463	 6.75410911933223E-02 
464	 0.067289671898062 
465	 0.06763350326773 
466	 0.068231538445276 
467	 0.068657527181169 
468	 6.85145353658913E-02 
469	 6.81025260491901E-02 
470	 0.068134192964727 
471	 6.84707615464088E-02 
472	 6.89585671432185E-02 
473	 6.92384135597708E-02 
474	 6.85951295158349E-02 
475	 6.87302366919079E-02 
476	 0.06928603534547 
477	 6.95287483243713E-02 
478	 6.99912579028976E-02 
479	 6.95589953658507E-02 
480	 6.89510185025789E-02 
481	 6.99217741856019E-02 
482	 6.99277457469645E-02 
483	 7.00529528357684E-02 
484	 7.06862485040766E-02 
485	 0.070010662545671 
486	 7.00078378240993E-02 
487	 7.07716236215557E-02 
488	 7.15678061536211E-02 
489	 7.09581145216708E-02 
490	 7.05490662431122E-02 
491	 7.09692836922028E-02 
492	 7.18539434347285E-02 
493	 7.22085991202261E-02 
494	 7.21242718588852E-02 
495	 7.20173759539492E-02 
496	 7.25707190986823E-02 
497	 0.073071913994614 
498	 0.073344361682074 
499	 7.34379997478847E-02 
500	 7.34571977828581E-02 
501	 7.37913025310415E-02 
502	 7.43201528839597E-02 
503	 7.44650573902432E-02 
504	 0.074349150635173 
505	 7.42682994061054E-02 
506	 7.44360433733334E-02 
507	 7.48192474379061E-02 
508	 7.51767531981065E-02 
509	 7.53539934818071E-02 
510	 7.53482220942979E-02 
511	 7.57383165826138E-02 
512	 0.076116002792939 
513	 7.63144443384545E-02 
514	 0.076508625702602 
515	 7.65577946630386E-02 
516	 7.68500244583719E-02 
517	 7.75328387070704E-02 
518	 7.78344337048075E-02 
519	 7.79177089142276E-02 
520	 7.79778944244583E-02 
521	 7.82097105093316E-02 
522	 0.078597798816495 
523	 7.88320459056895E-02 
524	 7.88417195934887E-02 
525	 7.88978556415662E-02 
526	 7.91292985088755E-02 
527	 7.96718634628953E-02 
528	 8.03879570624389E-02 
529	 8.02493043312041E-02 
530	 8.03394632066691E-02 
531	 8.07685153693639E-02 
532	 8.10417090968159E-02 
533	 8.15428717942056E-02 
534	 8.19923778065588E-02 
535	 8.21550817341389E-02 
536	 0.081948747786103 
537	 8.23274325667583E-02 
538	 8.28721001774106E-02 
539	 8.29649510959829E-02 
540	 8.32123798278934E-02 
541	 8.35196268382156E-02 
542	 8.38866036367755E-02 
543	 8.43810227143453E-02 
544	 8.45575143759738E-02 
545	 0.084585117294442 
546	 8.46996819988009E-02 
547	 8.50473049310763E-02 
548	 8.54915804093196E-02 
549	 0.085863885146535 
550	 8.60426173836791E-02 
551	 8.62181407179068E-02 
552	 8.66310908067109E-02 
553	 0.0871891476807 
554	 8.74574778465731E-02 
555	 0.087555999101998 
556	 8.76737076391208E-02 
557	 8.79636524029657E-02 
558	 8.84609345786627E-02 
559	 0.088749539522964 
560	 8.89606565857565E-02 
561	 8.94446550025707E-02 
562	 8.96536527493192E-02 
563	 8.99483321682386E-02 
564	 9.04112206057771E-02 
565	 9.05834985726099E-02 
566	 9.07415042076828E-02 
567	 9.10121503731028E-02 
568	 9.14203996577697E-02 
569	 9.17953598032633E-02 
570	 9.19524607402086E-02 
571	 9.20690930698111E-02 
572	 9.25352049245056E-02 
573	 0.092779339779393 
574	 9.29636359058941E-02 
575	 9.32357292317814E-02 
576	 9.34708912708504E-02 
577	 9.37690179237697E-02 
578	 9.41344470326784E-02 
579	 0.094506306210065 
580	 0.094679555342009 
581	 9.49405836795347E-02 
582	 9.52293853302547E-02 
583	 9.51309122506336E-02 
584	 9.54002331225318E-02 
585	 9.58117910653949E-02 
586	 9.60673542430789E-02 
587	 9.62614098556093E-02 
588	 9.64241725928762E-02 
589	 9.66485087093083E-02 
590	 9.69917507702239E-02 
591	 9.70466358785851E-02 
592	 0.097100525678641 
593	 9.73107488405449E-02 
594	 9.75697496961589E-02 
595	 9.77131934528968E-02 
596	 9.78706501073202E-02 
597	 9.81441175278539E-02 
598	 9.82128747731312E-02 
599	 9.83909819400795E-02 
600	 0.098661816157544 
601	 9.87865965296849E-02 
602	 9.88359157535861E-02 
603	 9.89951088796967E-02 
604	 9.93070530624961E-02 
605	 9.95310872799922E-02 
606	 9.96640911542428E-02 
607	 9.96987238774499E-02 
608	 9.96837383469061E-02 
609	 9.98842611942014E-02 
610	 0.100077145130144 
611	 0.100164410460057 
612	 0.10019203339181 
613	 0.100236293670414 
614	 0.100378828674899 
615	 0.100606340059229 
616	 0.100679858035954 
617	 0.100728019980842 
618	 0.100811176155851 
619	 0.100956013873143 
620	 0.101173796208108 
621	 0.101266509907663 
622	 0.101240116760411 
623	 0.101370449591319 
624	 0.101486254091997 
625	 0.101632452272591 
626	 0.10183447533404 
627	 0.101893325772924 
628	 0.101872936539593 
629	 0.101906947968104 
630	 0.102129306675658 
631	 0.102245092469494 
632	 0.102273765780139 
633	 0.102314019227128 
634	 0.102532507664411 
635	 0.102656975437328 
636	 0.102740977406764 
637	 0.102885509490214 
638	 0.102903967269947 
639	 0.102961576895481 
640	 0.103100224330646 
641	 0.103247068802583 
642	 0.103394650037904 
643	 0.103519574208357 
644	 0.103623435090261 
645	 0.103762792315426 
646	 0.103914577293158 
647	 0.104020407168438 
648	 0.104051719394165 
649	 0.10423099500032 
650	 0.104414874770095 
651	 0.104547765185972 
652	 0.104692848703741 
653	 0.104830895479596 
654	 0.104909617609285 
655	 0.104957368580263 
656	 0.105262921460952 
657	 0.105447456816492 
658	 0.105479734639533 
659	 0.105524689535224 
660	 0.105774433961104 
661	 0.106000566983044 
662	 0.106112256519592 
663	 0.106253200279475 
664	 0.10639204977927 
665	 0.106538007086554 
666	 0.10668211750053 
667	 0.106724569992484 
668	 0.106800909873672 
669	 0.106940422567992 
670	 0.107100251576667 
671	 0.107262031261921 
672	 0.107427958392555 
673	 0.107561117804711 
674	 0.107554047712355 
675	 0.107582596742648 
676	 0.107647881514403 
677	 0.107724476906373 
678	 0.107922473226601 
679	 0.108046664651975 
680	 0.108104826635155 
681	 0.108249462015336 
682	 0.108381509620118 
683	 0.108443295223493 
684	 0.108455825023093 
685	 0.108573761380594 
686	 0.108720535108956 
687	 0.108833488593461 
688	 0.108868518941398 
689	 0.108842035533104 
690	 0.108885480776677 
691	 0.109042653243673 
692	 0.10926264276585 
693	 0.10935518037935 
694	 0.109335882653427 
695	 0.109299711266925 
696	 0.109431575188025 
697	 0.109523100298705 
698	 0.109583032495432 
699	 0.109663966242795 
700	 0.109578934633158 
701	 0.109691084177553 
702	 0.109943437523291 
703	 0.109886093330866 
704	 0.109864904754963 
705	 0.109921038788604 
706	 0.110043038269366 
707	 0.110262287574096 
708	 0.110254195157893 
709	 0.110149960157018 
710	 0.110212717230141 
711	 0.110281002300665 
712	 0.110373355513299 
713	 0.110454030342583 
714	 0.110433769946943 
715	 0.110435352690447 
716	 0.110523783366169 
717	 0.110694008834846 
718	 0.110825937581592 
719	 0.110830046142468 
720	 0.110768570826353 
721	 0.110766764419744 
722	 0.110866525296493 
723	 0.110965698937723 
724	 0.11100971271496 
725	 0.111008059309487 
726	 0.111023930032364 
727	 0.111102456016954 
728	 0.111213848231616 
729	 0.111155447816096 
730	 0.11113562546156 
731	 0.111215360170081 
732	 0.111359544525413 
733	 0.111373430359089 
734	 0.11136733661117 
735	 0.111394875271088 
736	 0.111432436484398 
737	 0.111459372062002 
738	 0.111491175569811 
739	 0.111530553762456 
740	 0.111528271889426 
741	 0.111575984986933 
742	 0.111630924076052 
743	 0.111628593750805 
744	 0.111685616102445 
745	 0.111656227947047 
746	 0.111582686912865 
747	 0.111669185794501 
748	 0.111787751035644 
749	 0.11183181561063 
750	 0.11176921874219 
751	 0.11169474694297 
752	 0.111712472244395 
753	 0.111794592468502 
754	 0.111851007371083 
755	 0.11175987593165 
756	 0.111750937576132 
757	 0.111821016093247 
758	 0.111796256425727 
759	 0.111851240697781 
760	 0.111875933538577 
761	 0.111817493742754 
762	 0.111778983652236 
763	 0.111835150290717 
764	 0.111878039006839 
765	 0.111807957872569 
766	 0.111762153330492 
767	 0.111780260009036 
768	 0.111852725385668 
769	 0.111923110947326 
770	 0.111845109239946 
771	 0.111777081875581 
772	 0.111779282580681 
773	 0.111738011566733 
774	 0.111741278081224 
775	 0.111710972437113 
776	 0.111612283138397 
777	 0.111634444968442 
778	 0.111727474961064 
779	 0.111733784265157 
780	 0.111530660287161 
781	 0.111504171380468 
782	 0.11152070735386 
783	 0.111519011885127 
784	 0.111540313241186 
785	 0.111483685745406 
786	 0.111406530526432 
787	 0.111367155851721 
788	 0.111368470339544 
789	 0.111358181172581 
790	 0.111319156032478 
791	 0.111255151515814 
792	 0.111187324088809 
793	 0.111167646205114 
794	 0.111165811314014 
795	 0.111104583723442 
796	 0.1110215583055 
797	 0.110961532326368 
798	 0.110952211824467 
799	 0.110994007118729 
800	 0.110899486711074 
801	 0.110754114051777 
802	 0.110671615473965 
803	 0.110646571143763 
804	 0.110714151306188 
805	 0.110737934525333 
806	 0.110573786197356 
807	 0.110413008894635 
808	 0.110383319895955 
809	 0.110432107103008 
810	 0.110373826269384 
811	 0.110305237924256 
812	 0.110210451610538 
813	 0.110136721256492 
814	 0.110251633596372 
815	 0.11016388700399 
816	 0.109956394268468 
817	 0.109821835092751 
818	 0.109874451277524 
819	 0.109879585419095 
820	 0.109791792747593 
821	 0.109671894717388 
822	 0.109592104716978 
823	 0.10954413720949 
824	 0.109496832540678 
825	 0.109411696253341 
826	 0.109347549243718 
827	 0.109264696872108 
828	 0.109170069172316 
829	 0.109165706390573 
830	 0.109134862029812 
